Frequency DateTime Pmin Pmax PathLength XStart YStart XEnd YEnd ID
39.228 201208282245 -62 -61 1.66395 6.76447 53.16784 6.7396 53.16835 894
25.41 201208282245 -58 -57 6.02163 6.56879 53.00951 6.48125 53.02138 2914
37.978 201208282245 -50 -49 2.00153 6.56877 53.21852 6.55517 53.2025 817
39.337 201208282245 -61 -61 1.01916 6.57488 53.21558 6.56015 53.21319 812
39.2 201208282245 -50 -50 1.5943 6.87999 53.11062 6.85956 53.10327 893
39.364 201208282245 -56 -56 1.42305 6.57222 53.22372 6.56015 53.21319 822
39.172 201208282245 -54 -53 2.88593 6.76447 53.16784 6.80701 53.16349 898
37.986 201208282245 -51 -51 1.61516 6.56879 53.00951 6.55769 52.99663 2915
39.165 201208282245 -45 -45 4.73183 6.71153 53.0478 6.74605 53.01071 884
26.418 201208282245 -50 -48 9.02027 6.60902 53.13927 6.53325 53.20633 883
37.079 201208282245 -47 -47 0.60799 6.57528 53.22887 6.57222 53.22372 892
39.228 201208282245 -56 -56 2.61441 6.58442 52.98799 6.56879 53.00951 2918
25.382 201208282245 -54 -54 5.37254 6.53152 52.91973 6.54071 52.96769 891
25.386 201208282245 -50 -50 6.22589 6.56879 53.00951 6.52698 52.95957 2916
37.912 201208282245 -46 -46 4.68488 6.66676 52.979730000000004 6.66934 52.93766 889
39.172 201208282245 -60 -60 2.97052 6.98795 53.09842 6.948 53.08685 901
37.978 201208282245 -44 -43 4.29726 6.59599 53.16868 6.58641 53.1305 900
37.94 201208282245 -57 -56 1.63809 6.87816 53.08895 6.89421 53.10006 881
19.095 201208282245 -50 -48 14.52881 6.57222 53.22372 6.41436 53.134 890
37.079 201208282245 -45 -44 0.60799 6.57528 53.22887 6.57222 53.22372 892
37.968 201208282245 -59 -58 1.66395 6.7396 53.16835 6.76447 53.16784 897
39.343 201208282245 -48 -48 1.32874 6.5834 53.01757 6.56879 53.00951 2919
37.94 201208282245 -51 -50 3.76288 6.59599 53.16868 6.63271 53.14307 906
39.2 201208282245 -56 -56 1.63809 6.89421 53.10006 6.87816 53.08895 896
37.992 201208282245 -44 -44 0.88424 6.57528 53.22887 6.58611 53.23344 904
39.172 201208282245 -43 -43 0.73526 6.5651 53.21662 6.5679 53.21023 885
39.26 201208282245 -47 -47 1.36002 6.58308 53.19738 6.58561 53.20951 899
37.912 201208282245 -52 -51 2.88593 6.80701 53.16349 6.76447 53.16784 905
25.382 201208282245 -46 -45 9.5461 6.3973 53.04206 6.52131 53.00002 907
37.986 201208282245 -43 -42 0.42257 6.57528 53.22887 6.57079 53.23154 911
38.105 201208282245 -57 -56 1.42305 6.56015 53.21319 6.57222 53.22372 910
39.2 201208282245 -52 -52 1.5292 6.57222 53.22372 6.5679 53.21023 903
39.172 201208282245 -44 -44 0.66044 6.58308 53.19738 6.57372 53.19929 918
25.382 201208282245 -56 -55 5.86709 6.45154 53.07097 6.48125 53.02138 912
26.39 201208282245 -54 -54 5.86709 6.48125 53.02138 6.45154 53.07097 915
39.267 201208282245 -49 -48 4.36945 6.58921 53.04679 6.56879 53.00951 2920
37.912 201208282245 -47 -46 0.66044 6.57372 53.19929 6.58308 53.19738 924
38.077 201208282245 -64 -63 1.01916 6.56015 53.21319 6.57488 53.21558 921
26.39 201208282245 -45 -44 9.5461 6.52131 53.00002 6.3973 53.04206 902
39.252 201208282245 -51 -50 3.07738 6.57222 53.22372 6.53419 53.23934 914
37.912 201208282245 -52 -52 1.34384 6.59218 53.20597 6.60905 53.19939 922
39.239 201208282245 -52 -51 2.00153 6.55517 53.2025 6.56877 53.21852 917
58.2 201208282245 -32 -32 0.08931 6.55662 53.21479 6.55559 53.21427 916
39.337 201208282245 -52 -52 1.61457 6.52131 53.00002 6.54181 53.00762 909
38.118 201208282245 -44 -43 4.13344 6.57908 53.26064 6.57222 53.22372 931
39.252 201208282245 -46 -46 0.1309 6.56696 53.21897 6.56877 53.21852 920
25.382 201208282245 -50 -49 5.21172 6.74377 53.31 6.70118 53.27074 923
37.912 201208282245 -54 -54 1.50853 6.91965 53.31928 6.92231 53.33274 926
37.912 201208282245 -54 -54 2.26532 6.87102 53.32334 6.90439 53.32724 925
26.39 201208282245 -52 -50 5.21172 6.70118 53.27074 6.74377 53.31 1003
25.102 201208282245 -43 -42 7.15266 6.68916 53.3291 6.76526 53.37445 929
39.252 201208282245 -44 -44 3.55428 6.26213 53.15226 6.30931 53.16696 927
37.986 201208282245 -54 -53 4.07644 6.40562 53.24545 6.35813 53.22243 930
39.239 201208282245 -56 -55 5.97957 7.12605 53.14836 7.20104 53.17761 935
58.2 201208282245 -42 -42 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.245 201208282245 -44 -43 0.42257 6.57079 53.23154 6.57528 53.22887 933
37.992 201208282245 -49 -49 2.46689 6.50465 53.21108 6.53574 53.22304 1006
39.172 201208282245 -52 -51 2.26532 6.90439 53.32724 6.87102 53.32334 936
26.362 201208282245 -50 -46 8.19688 7.12605 53.14836 7.02248 53.10906 939
39.26 201208282245 -45 -45 1.54023 6.54377 53.22834 6.52088 53.23004 940
39.375 201208282245 -52 -51 3.07564 6.35516 53.16911 6.30931 53.16696 1001
39.294 201208282245 -46 -46 1.86669 6.53574 53.22304 6.53325 53.20633 934
26.11 201208282245 -43 -42 7.15266 6.76526 53.37445 6.68916 53.3291 932
39.172 201208282245 -52 -52 1.50853 6.92231 53.33274 6.91965 53.31928 937
58.2 201208282245 -42 -41 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.252 201208282245 -43 -43 0.88424 6.58611 53.23344 6.57528 53.22887 1019
38.328 201208282245 -49 -49 3.49997 6.57222 53.22372 6.52088 53.23004 1002
39.172 201208282245 -49 -48 3.65512 6.32889 53.07031 6.34265 53.1021 2926
26.39 201208282245 -53 -52 5.90227 6.26425 53.30898 6.21379 53.26541 1014
39.337 201208282245 -50 -49 2.45419 6.56413 53.22655 6.53419 53.23934 938
39.172 201208282245 -45 -45 4.25616 6.45421 53.39719 6.41447 53.36722 1004
39.252 201208282245 -52 -51 2.46689 6.53574 53.22304 6.50465 53.21108 1011
37.999 201208282245 -52 -51 1.70439 6.53325 53.20633 6.54826 53.21872 1007
37.912 201208282245 -50 -49 3.65512 6.34265 53.1021 6.32889 53.07031 2927
26.362 201208282245 -51 -49 9.40842 6.43686 53.14474 6.53325 53.20633 1010
14.543 201208282245 -54 -52 13.60012 6.47304 53.11703 6.57222 53.22372 1012
39.245 201208282245 -57 -56 4.07644 6.35813 53.22243 6.40562 53.24545 1013
25.375 201208282245 -47 -46 7.03619 6.50456 53.33418 6.41447 53.36722 1015
39.379 201208282245 -41 -40 4.13344 6.57222 53.22372 6.57908 53.26064 1018
18.085 201208282245 -51 -48 14.52881 6.41436 53.134 6.57222 53.22372 1017
25.386 201208282245 -52 -51 10.79567 6.47954 53.30324 6.57222 53.22372 1021
37.096 201208282245 -49 -48 3.90479 6.62579 53.23779 6.57222 53.22372 1000
39.172 201208282245 -57 -57 3.60144 6.41436 53.134 6.36834 53.15079 1022
37.069 201208282245 -47 -47 3.49997 6.52088 53.23004 6.57222 53.22372 1020
37.912 201208282245 -57 -56 3.60144 6.36834 53.15079 6.41436 53.134 1029
26.362 201208282245 -53 -52 6.90104 6.80812 53.4503 6.72452 53.41353 1027
39.172 201208282245 -53 -53 2.00888 6.62517 53.1644 6.59599 53.16868 1028
38.115 201208282245 -45 -45 1.504 7.05273 53.1538 7.05556 53.14039 1030
38.077 201208282245 -48 -48 0.51743 6.52088 53.23004 6.52701 53.23288 1025
25.354 201208282245 -45 -44 9.40842 6.53325 53.20633 6.43686 53.14474 1023
37.94 201208282245 -52 -51 1.5943 6.85956 53.10327 6.87999 53.11062 1033
37.992 201208282245 -51 -51 3.07738 6.53419 53.23934 6.57222 53.22372 1024
37.999 201208282245 -48 -47 1.54023 6.52088 53.23004 6.54377 53.22834 1032
39.375 201208282245 -56 -56 1.81686 6.57222 53.22372 6.58561 53.20951 1031
38.077 201208282245 -49 -48 2.45419 6.53419 53.23934 6.56413 53.22655 1026
25.41 201208282245 -48 -47 9.02027 6.53325 53.20633 6.60902 53.13927 1034
15.271 201208282245 -53 -52 13.60012 6.57222 53.22372 6.47304 53.11703 1035
26.39 201208282245 -49 -49 7.95289 6.23533 52.92439 6.12104 52.9428 1350
39.207 201208282245 -53 -53 4.98579 6.45558 52.81826 6.51173 52.7891 440
37.978 201208282245 -42 -42 2.58349 6.5192 52.85566 6.5251 52.8786 439
37.912 201208282245 -47 -46 2.98403 6.60336 52.83134 6.6035 52.85816 441
39.252 201208282245 -51 -50 3.73824 6.45558 52.81826 6.51082 52.82123 442
39.239 201208282245 -44 -43 2.58349 6.5251 52.8786 6.5192 52.85566 448
37.992 201208282245 -51 -50 3.73824 6.51082 52.82123 6.45558 52.81826 459
37.912 201208282245 -52 -51 1.3529 6.29027 52.99027 6.27041 52.99235 1369
25.375 201208282245 -54 -54 5.86005 6.29027 52.99027 6.20368 52.9837 1370
37.912 201208282245 -47 -46 3.10822 6.31414 52.82447 6.35735 52.83422 553
25.382 201208282245 -39 -36 8.69559 6.85095 52.85007 6.93802 52.79241 455
39.172 201208282245 -47 -46 3.10822 6.35735 52.83422 6.31414 52.82447 542
39.172 201208282245 -47 -46 2.98403 6.6035 52.85816 6.60336 52.83134 466
39.165 201208282245 -48 -46 4.78188 6.94839 52.91493 7.01525 52.92956 471
18.03 201208282245 -59 -56 13.50599 6.94267 52.99448 7.07683 53.08498 475
39.239 201208282245 -52 -51 4.17584 6.73513 52.80194 6.6765 52.81402 476
39.256 201208282245 -54 -54 2.12735 6.95347 52.98836 6.97979 52.97772 478
37.905 201208282245 -50 -48 4.78188 7.01525 52.92956 6.94839 52.91493 543
39.165 201208282245 -54 -54 3.0793 7.01344 52.87503 7.05851 52.87976 473
39.26 201208282245 -56 -55 4.29863 6.44731 52.90818 6.38813 52.89363 469
37.905 201208282245 -56 -55 3.0793 7.05851 52.87976 7.01344 52.87503 480
18.003 201208282245 -58 -57 7.56082 7.12769 52.92908 7.01525 52.92956 546
17.997 201208282245 -55 -54 14.11476 6.38813 52.89363 6.27463 52.78701 470
37.999 201208282245 -56 -55 4.29863 6.38813 52.89363 6.44731 52.90818 472
37.986 201208282300 -51 -51 1.61516 6.56879 53.00951 6.55769 52.99663 2915
39.228 201208282300 -56 -56 2.61441 6.58442 52.98799 6.56879 53.00951 2918
25.382 201208282300 -54 -53 5.37254 6.53152 52.91973 6.54071 52.96769 891
39.2 201208282300 -50 -50 1.5943 6.87999 53.11062 6.85956 53.10327 893
37.079 201208282300 -47 -47 0.60799 6.57528 53.22887 6.57222 53.22372 892
25.386 201208282300 -50 -50 6.22589 6.56879 53.00951 6.52698 52.95957 2916
39.2 201208282300 -57 -56 1.63809 6.89421 53.10006 6.87816 53.08895 896
39.172 201208282300 -43 -43 0.73526 6.5651 53.21662 6.5679 53.21023 885
39.364 201208282300 -56 -56 1.42305 6.57222 53.22372 6.56015 53.21319 822
39.343 201208282300 -49 -48 1.32874 6.5834 53.01757 6.56879 53.00951 2919
37.079 201208282300 -45 -44 0.60799 6.57528 53.22887 6.57222 53.22372 892
37.978 201208282300 -44 -43 4.29726 6.59599 53.16868 6.58641 53.1305 900
39.26 201208282300 -47 -47 1.36002 6.58308 53.19738 6.58561 53.20951 899
37.992 201208282300 -44 -44 0.88424 6.57528 53.22887 6.58611 53.23344 904
26.39 201208282300 -47 -44 9.5461 6.52131 53.00002 6.3973 53.04206 902
26.39 201208282300 -50 -50 5.21172 6.70118 53.27074 6.74377 53.31 1003
39.172 201208282300 -44 -44 0.66044 6.58308 53.19738 6.57372 53.19929 918
19.095 201208282300 -50 -48 14.52881 6.57222 53.22372 6.41436 53.134 890
39.337 201208282300 -52 -52 1.61457 6.52131 53.00002 6.54181 53.00762 909
37.986 201208282300 -43 -40 0.42257 6.57528 53.22887 6.57079 53.23154 911
25.382 201208282300 -47 -45 9.5461 6.3973 53.04206 6.52131 53.00002 907
37.912 201208282300 -46 -46 4.68488 6.66676 52.979730000000004 6.66934 52.93766 889
37.912 201208282300 -47 -47 0.66044 6.57372 53.19929 6.58308 53.19738 924
38.105 201208282300 -57 -56 1.42305 6.56015 53.21319 6.57222 53.22372 910
38.077 201208282300 -64 -63 1.01916 6.56015 53.21319 6.57488 53.21558 921
37.968 201208282300 -59 -58 1.66395 6.7396 53.16835 6.76447 53.16784 897
39.2 201208282300 -52 -52 1.5292 6.57222 53.22372 6.5679 53.21023 903
39.172 201208282300 -61 -60 2.97052 6.98795 53.09842 6.948 53.08685 901
37.912 201208282300 -52 -52 2.88593 6.80701 53.16349 6.76447 53.16784 905
37.94 201208282300 -51 -50 3.76288 6.59599 53.16868 6.63271 53.14307 906
39.267 201208282300 -48 -48 4.36945 6.58921 53.04679 6.56879 53.00951 2920
26.39 201208282300 -54 -54 5.86709 6.48125 53.02138 6.45154 53.07097 915
37.912 201208282300 -52 -52 1.34384 6.59218 53.20597 6.60905 53.19939 922
58.2 201208282300 -32 -32 0.08931 6.55662 53.21479 6.55559 53.21427 916
25.382 201208282300 -56 -55 5.86709 6.45154 53.07097 6.48125 53.02138 912
39.239 201208282300 -52 -51 2.00153 6.55517 53.2025 6.56877 53.21852 917
39.252 201208282300 -46 -46 0.1309 6.56696 53.21897 6.56877 53.21852 920
38.118 201208282300 -44 -43 4.13344 6.57908 53.26064 6.57222 53.22372 931
25.382 201208282300 -50 -49 5.21172 6.74377 53.31 6.70118 53.27074 923
39.252 201208282300 -51 -50 3.07738 6.57222 53.22372 6.53419 53.23934 914
37.912 201208282300 -54 -54 2.26532 6.87102 53.32334 6.90439 53.32724 925
37.912 201208282300 -54 -54 1.50853 6.91965 53.31928 6.92231 53.33274 926
25.102 201208282300 -43 -42 7.15266 6.68916 53.3291 6.76526 53.37445 929
37.986 201208282300 -54 -54 4.07644 6.40562 53.24545 6.35813 53.22243 930
39.252 201208282300 -45 -44 3.55428 6.26213 53.15226 6.30931 53.16696 927
37.096 201208282300 -49 -48 3.90479 6.62579 53.23779 6.57222 53.22372 1000
39.239 201208282300 -56 -55 5.97957 7.12605 53.14836 7.20104 53.17761 935
39.245 201208282300 -44 -42 0.42257 6.57079 53.23154 6.57528 53.22887 933
26.11 201208282300 -43 -42 7.15266 6.76526 53.37445 6.68916 53.3291 932
39.294 201208282300 -46 -46 1.86669 6.53574 53.22304 6.53325 53.20633 934
39.172 201208282300 -52 -51 2.26532 6.90439 53.32724 6.87102 53.32334 936
37.992 201208282300 -49 -49 2.46689 6.50465 53.21108 6.53574 53.22304 1006
58.2 201208282300 -42 -42 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.172 201208282300 -52 -52 1.50853 6.92231 53.33274 6.91965 53.31928 937
26.362 201208282300 -52 -47 8.19688 7.12605 53.14836 7.02248 53.10906 939
39.337 201208282300 -50 -50 2.45419 6.56413 53.22655 6.53419 53.23934 938
37.978 201208282300 -42 -42 2.58349 6.5192 52.85566 6.5251 52.8786 439
39.207 201208282300 -53 -53 4.98579 6.45558 52.81826 6.51173 52.7891 440
37.912 201208282300 -47 -47 2.98403 6.60336 52.83134 6.6035 52.85816 441
39.252 201208282300 -51 -50 3.73824 6.45558 52.81826 6.51082 52.82123 442
37.992 201208282300 -51 -51 3.73824 6.51082 52.82123 6.45558 52.81826 459
39.239 201208282300 -44 -43 2.58349 6.5251 52.8786 6.5192 52.85566 448
25.382 201208282300 -38 -36 8.69559 6.85095 52.85007 6.93802 52.79241 455
37.912 201208282300 -47 -46 3.10822 6.31414 52.82447 6.35735 52.83422 553
39.172 201208282300 -47 -47 3.10822 6.35735 52.83422 6.31414 52.82447 542
39.165 201208282300 -47 -46 4.78188 6.94839 52.91493 7.01525 52.92956 471
39.172 201208282300 -47 -46 2.98403 6.6035 52.85816 6.60336 52.83134 466
39.239 201208282300 -52 -51 4.17584 6.73513 52.80194 6.6765 52.81402 476
39.256 201208282300 -54 -54 2.12735 6.95347 52.98836 6.97979 52.97772 478
39.165 201208282300 -55 -54 3.0793 7.01344 52.87503 7.05851 52.87976 473
18.03 201208282300 -58 -56 13.50599 6.94267 52.99448 7.07683 53.08498 475
37.905 201208282300 -56 -55 3.0793 7.05851 52.87976 7.01344 52.87503 480
37.905 201208282300 -49 -48 4.78188 7.01525 52.92956 6.94839 52.91493 543
39.26 201208282300 -56 -55 4.29863 6.44731 52.90818 6.38813 52.89363 469
18.003 201208282300 -58 -58 7.56082 7.12769 52.92908 7.01525 52.92956 546
17.997 201208282300 -56 -55 14.11476 6.38813 52.89363 6.27463 52.78701 470
37.999 201208282300 -56 -55 4.29863 6.38813 52.89363 6.44731 52.90818 472
39.375 201208282300 -52 -50 3.07564 6.35516 53.16911 6.30931 53.16696 1001
39.26 201208282300 -45 -45 1.54023 6.54377 53.22834 6.52088 53.23004 940
39.252 201208282300 -43 -43 0.88424 6.58611 53.23344 6.57528 53.22887 1019
39.172 201208282300 -45 -45 4.25616 6.45421 53.39719 6.41447 53.36722 1004
58.2 201208282300 -42 -41 0.1482 6.57424 53.22427 6.57222 53.22372 928
39.252 201208282300 -52 -51 2.46689 6.53574 53.22304 6.50465 53.21108 1011
39.172 201208282300 -49 -48 3.65512 6.32889 53.07031 6.34265 53.1021 2926
37.912 201208282300 -50 -50 3.65512 6.34265 53.1021 6.32889 53.07031 2927
37.999 201208282300 -52 -51 1.70439 6.53325 53.20633 6.54826 53.21872 1007
14.543 201208282300 -54 -52 13.60012 6.47304 53.11703 6.57222 53.22372 1012
25.375 201208282300 -48 -47 7.03619 6.50456 53.33418 6.41447 53.36722 1015
39.245 201208282300 -57 -56 4.07644 6.35813 53.22243 6.40562 53.24545 1013
38.328 201208282300 -49 -49 3.49997 6.57222 53.22372 6.52088 53.23004 1002
25.354 201208282300 -45 -44 9.40842 6.53325 53.20633 6.43686 53.14474 1023
18.085 201208282300 -51 -48 14.52881 6.41436 53.134 6.57222 53.22372 1017
37.069 201208282300 -47 -47 3.49997 6.52088 53.23004 6.57222 53.22372 1020
25.386 201208282300 -52 -52 10.79567 6.47954 53.30324 6.57222 53.22372 1021
26.39 201208282300 -53 -53 5.90227 6.26425 53.30898 6.21379 53.26541 1014
39.172 201208282300 -58 -57 3.60144 6.41436 53.134 6.36834 53.15079 1022
26.362 201208282300 -51 -49 9.40842 6.43686 53.14474 6.53325 53.20633 1010
39.379 201208282300 -41 -40 4.13344 6.57222 53.22372 6.57908 53.26064 1018
26.362 201208282300 -52 -52 6.90104 6.80812 53.4503 6.72452 53.41353 1027
37.992 201208282300 -51 -51 3.07738 6.53419 53.23934 6.57222 53.22372 1024
25.41 201208282300 -48 -46 9.02027 6.53325 53.20633 6.60902 53.13927 1034
39.172 201208282300 -53 -53 2.00888 6.62517 53.1644 6.59599 53.16868 1028
38.115 201208282300 -45 -45 1.504 7.05273 53.1538 7.05556 53.14039 1030
37.912 201208282300 -57 -57 3.60144 6.36834 53.15079 6.41436 53.134 1029
38.077 201208282300 -48 -48 2.45419 6.53419 53.23934 6.56413 53.22655 1026
37.94 201208282300 -52 -52 1.5943 6.85956 53.10327 6.87999 53.11062 1033
39.375 201208282300 -56 -56 1.81686 6.57222 53.22372 6.58561 53.20951 1031
38.077 201208282300 -48 -48 0.51743 6.52088 53.23004 6.52701 53.23288 1025
37.999 201208282300 -48 -47 1.54023 6.52088 53.23004 6.54377 53.22834 1032
15.271 201208282300 -53 -52 13.60012 6.57222 53.22372 6.47304 53.11703 1035
26.39 201208282300 -49 -48 7.95289 6.23533 52.92439 6.12104 52.9428 1350
37.912 201208282300 -52 -51 1.3529 6.29027 52.99027 6.27041 52.99235 1369
25.375 201208282300 -54 -54 5.86005 6.29027 52.99027 6.20368 52.9837 1370
38.007 201208282300 -51 -50 4.36945 6.56879 53.00951 6.58921 53.04679 2923
25.392 201208282300 -48 -48 2.91374 6.60905 53.19939 6.63152 53.17696 797
37.94 201208282300 -52 -52 1.5292 6.5679 53.21023 6.57222 53.22372 814
39.239 201208282300 -45 -44 1.44321 6.60604 53.22877 6.58937 53.22052 798
39.239 201208282300 -45 -44 4.29726 6.58641 53.1305 6.59599 53.16868 806
25.382 201208282300 -53 -53 5.90227 6.21379 53.26541 6.26425 53.30898 919
37.999 201208282300 -53 -53 2.66357 6.56984 52.98393 6.54071 52.96769 800
39.172 201208282300 -50 -49 1.34384 6.60905 53.19939 6.59218 53.20597 801
37.999 201208282300 -41 -40 3.75183 6.57014 53.19003 6.57222 53.22372 795
39.26 201208282300 -44 -43 3.75183 6.57222 53.22372 6.57014 53.19003 799
37.978 201208282300 -48 -48 3.85081 6.57504 53.01815 6.53268 52.99481 809
37.978 201208282300 -45 -45 1.44321 6.58937 53.22052 6.60604 53.22877 796
39.245 201208282300 -51 -51 1.61516 6.55769 52.99663 6.56879 53.00951 2924
37.999 201208282300 -47 -47 1.36002 6.58561 53.20951 6.58308 53.19738 804
39.239 201208282300 -51 -51 3.85081 6.53268 52.99481 6.57504 53.01815 805
25.102 201208282300 -49 -48 5.02111 6.56879 53.00951 6.54071 52.96769 2925
38.084 201208282300 -50 -50 1.32874 6.56879 53.00951 6.5834 53.01757 2912
38.077 201208282300 -47 -47 1.61457 6.54181 53.00762 6.52131 53.00002 815
37.992 201208282300 -49 -48 1.72478 6.56984 52.98393 6.57279 52.99933 2905
38.115 201208282300 -56 -56 1.81686 6.58561 53.20951 6.57222 53.22372 813
39.337 201208282300 -61 -61 1.01916 6.57488 53.21558 6.56015 53.21319 812
37.94 201208282300 -52 -52 2.92404 6.56879 53.00951 6.53268 52.99481 2913
37.992 201208282300 -52 -52 0.1309 6.56877 53.21852 6.56696 53.21897 811
39.2 201208282300 -45 -44 4.65382 6.76447 53.16784 6.79195 53.20626 886
39.263 201208282300 -45 -44 4.37035 6.98553 53.164790000000004 6.92516 53.17983 820
38.003 201208282300 -45 -44 4.37035 6.92516 53.17983 6.98553 53.164790000000004 818
37.912 201208282300 -47 -47 0.73526 6.5679 53.21023 6.5651 53.21662 821
39.245 201208282300 -48 -47 1.55384 6.55446 53.2351 6.57528 53.22887 880
37.978 201208282300 -50 -50 2.00153 6.56877 53.21852 6.55517 53.2025 817
25.41 201208282300 -58 -57 6.02163 6.56879 53.00951 6.48125 53.02138 2914
39.228 201208282300 -62 -61 1.66395 6.76447 53.16784 6.7396 53.16835 894
37.94 201208282300 -57 -57 1.63809 6.87816 53.08895 6.89421 53.10006 881
38.356 201208282300 -46 -45 3.90479 6.57222 53.22372 6.62579 53.23779 808
39.165 201208282300 -46 -45 4.73183 6.71153 53.0478 6.74605 53.01071 884
26.418 201208282300 -50 -48 9.02027 6.60902 53.13927 6.53325 53.20633 883
39.172 201208282300 -54 -54 2.88593 6.76447 53.16784 6.80701 53.16349 898
26.39 201208282315 -49 -48 7.95289 6.23533 52.92439 6.12104 52.9428 1350
37.912 201208282315 -52 -52 1.3529 6.29027 52.99027 6.27041 52.99235 1369
25.375 201208282315 -54 -54 5.86005 6.29027 52.99027 6.20368 52.9837 1370
37.978 201208282315 -42 -42 2.58349 6.5192 52.85566 6.5251 52.8786 439
39.207 201208282315 -54 -53 4.98579 6.45558 52.81826 6.51173 52.7891 440
37.912 201208282315 -47 -46 2.98403 6.60336 52.83134 6.6035 52.85816 441
39.252 201208282315 -51 -50 3.73824 6.45558 52.81826 6.51082 52.82123 442
39.239 201208282315 -44 -43 2.58349 6.5251 52.8786 6.5192 52.85566 448
37.912 201208282315 -47 -47 3.10822 6.31414 52.82447 6.35735 52.83422 553
25.382 201208282315 -38 -37 8.69559 6.85095 52.85007 6.93802 52.79241 455
37.992 201208282315 -51 -51 3.73824 6.51082 52.82123 6.45558 52.81826 459
39.172 201208282315 -47 -47 3.10822 6.35735 52.83422 6.31414 52.82447 542
39.172 201208282315 -47 -46 2.98403 6.6035 52.85816 6.60336 52.83134 466
